Sub-Category,Total Sales,Growth Rate,Volatility,Average Order,Cluster,PC1,PC2,Demand Segment
Accessories,164186.7,0.37638071385980304,2579.99480907113,217.17817460317463,2,0.03285460703376145,-0.12803940323466437,"Low Volume, High Volatility"
Appliances,104618.403,0.39927584181977216,1821.6215390281989,227.92680392156865,1,-0.5622131327056414,0.13744335964615967,Growing Demand
Art,26705.41,0.16605553026749922,330.4883427284576,34.019630573248406,1,-1.72850341703956,-0.1526566208305632,Growing Demand
Binders,200028.785,0.2187360669860654,3848.2236478754908,134.0675502680965,2,0.6174826035598088,-0.5946761538991755,"Low Volume, High Volatility"
Bookcases,113813.1987,0.23806516259103613,2220.4050797251753,503.5982243362832,1,-0.11979130538828046,-0.06488749731165933,Growing Demand
Chairs,322822.73099999997,0.07135789951209726,4407.232959811409,531.8331647446457,2,1.8472884767482287,-1.1423158885281157,"Low Volume, High Volatility"
Copiers,146248.094,0.846718189338513,5500.774390527093,2215.8802121212125,0,2.8686496851297143,1.9663937379556657,"High Volume, Stable Demand"
Envelopes,16128.046,-0.027666432997654145,228.21868781596007,65.03244354838709,1,-1.804685980302127,-0.47993123765906043,Growing Demand
Fasteners,3001.96,0.15703382899686266,48.74222863268981,14.02785046728972,1,-1.9807677286852754,-0.09496760699447912,Growing Demand
Furnishings,89212.018,0.2878893806111394,1360.0178672616057,95.82386466165413,1,-0.9435150088974968,-0.10076354274491102,Growing Demand
Labels,12347.726,0.12192650684234545,223.47121839221342,34.587467787114846,1,-1.847783813027079,-0.18610128888702812,Growing Demand
Machines,189238.631,0.08006000579367449,5603.554746739796,1645.5533130434783,0,2.584981589461764,-0.006099062751403657,"High Volume, Stable Demand"
Paper,76828.304,0.2541307360390605,1024.8249818349852,57.42025710014948,1,-1.172294345036548,-0.1462967493819766,Growing Demand
Phones,327782.448,0.12340878459166034,4052.718220520821,374.1808767123287,2,1.6006023417345783,-1.147907475268021,"Low Volume, High Volatility"
Storage,219343.392,0.13179873437023967,2822.0843101166624,263.6338846153846,2,0.4531998006860238,-0.794725374398206,"Low Volume, High Volatility"
Supplies,46420.308,1.9284484275895373,2025.0941389159009,252.28428260869563,3,-0.7089342580206751,3.3959670825802233,Declining Demand
Tables,202810.628,0.16410685246324877,3224.082504460717,645.8937197452229,2,0.8634298847488043,-0.4604362782927846,"Low Volume, High Volatility"
